2016-12-12 12:00:53,678 INFO  com.astrolink.dao.DmLoginLinstenerThreadDao  - 扫描结束，需要处理的数据个数10
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量1execMap执行缓冲数量1
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量2execMap执行缓冲数量1
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量3execMap执行缓冲数量1
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量4execMap执行缓冲数量1
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量5execMap执行缓冲数量1
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量6execMap执行缓冲数量1
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量7execMap执行缓冲数量1
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量8execMap执行缓冲数量1
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量9execMap执行缓冲数量1
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 数据到达接收器，waitMap数据缓冲数量10execMap执行缓冲数量1
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为17
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - id为17的处理线程添加成功
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为35
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - id为35的处理线程添加成功
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为67
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - id为67的处理线程添加成功
 2016-12-12 12:00:53,693 INFO  com.astrolink.dao.DmLoginExecLinstenerThreadDao  - 开始处理月报表，id为17
 2016-12-12 12:00:53,693 INFO  com.astrolink.dao.DmLoginExecLinstenerThreadDao  - 开始处理月报表，id为35
 2016-12-12 12:00:53,693 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为20
 2016-12-12 12:00:53,693 INFO  com.astrolink.dao.DmLoginExecLinstenerThreadDao  - 开始处理月报表，id为67
 2016-12-12 12:00:53,694 INFO  com.astrolink.service.DmLoginService  - id为20的处理线程添加成功
 2016-12-12 12:00:53,694 INFO  com.astrolink.service.DmLoginService  - 查询到,数据同步处理线程，开始添加，id为5
 2016-12-12 12:00:53,694 INFO  com.astrolink.dao.DmLoginExecLinstenerThreadDao  - 开始处理月报表，id为20
